name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
The Watcher in the Woods,PG,Family,1980,"October 9, 1981 (United States)",6.3,5700,John Hough,Brian Clemens,Bette Davis,United States,,5000000,Walt Disney Productions,84
Herbie Goes Bananas,G,Adventure,1980,"June 25, 1980 (United States)",5,5300,Vincent McEveety,Don Tait,Charles Martin Smith,United States,,18000000,Walt Disney Productions,100
The Last Flight of Noah's Ark,G,Adventure,1980,"June 25, 1980 (United States)",5.8,1300,Charles Jarrott,Ernest K. Gann,Elliott Gould,United States,6000000,11000000,Walt Disney Productions,97
The Fox and the Hound,G,Animation,1981,"July 10, 1981 (United States)",7.3,87000,Directors,Daniel P. Mannix,Mickey Rooney,United States,12000000,63456988,Walt Disney Animation Studios,83
The Devil and Max Devlin,PG,Comedy,1981,"March 6, 1981 (United States)",5,1200,Steven Hilliard Stern,Mary Rodgers,Elliott Gould,United States,,16000000,Walt Disney Productions,96
Tron,PG,Action,1982,"July 9, 1982 (United States)",6.8,115000,Steven Lisberger,Steven Lisberger,Jeff Bridges,United States,17000000,33000525,Walt Disney Productions,96
Tex,PG,Drama,1982,"July 30, 1982 (United States)",6.5,2000,Tim Hunter,S.E. Hinton,Matt Dillon,United States,,7400000,Walt Disney Productions,103
Night Crossing,PG,Drama,1982,"February 5, 1982 (United States)",6.5,1300,Delbert Mann,John McGreevey,John Hurt,United Kingdom,10000000,8000000,Walt Disney Productions,107
Something Wicked This Way Comes,PG,Fantasy,1983,"April 29, 1983 (United States)",6.8,8600,Jack Clayton,Ray Bradbury,Jason Robards,United States,19000000,8400000,Walt Disney Productions,95
Never Cry Wolf,PG,Adventure,1983,"January 27, 1984 (United States)",7.5,7800,Carroll Ballard,Farley Mowat,Charles Martin Smith,United States,,29600000,Walt Disney Pictures,105
Trenchcoat,PG,Comedy,1983,"March 11, 1983 (United States)",5.3,456,Michael Tuchner,Jeffrey Price,Margot Kidder,United States,5000000,4304286,Walt Disney Productions,91
The Black Cauldron,PG,Animation,1985,"July 24, 1985 (United States)",6.4,33000,Ted Berman,Lloyd Alexander,Grant Bardsley,United States,44000000,21288692,Walt Disney Pictures,80
The Journey of Natty Gann,PG,Adventure,1985,"September 27, 1985 (United States)",7,5600,Jeremy Kagan,Jeanne Rosenberg,Meredith Salenger,United States,,9708373,Walt Disney Pictures,101
One Magic Christmas,G,Family,1985,"November 22, 1985 (United States)",6.5,3400,Phillip Borsos,Thomas Meehan,Mary Steenburgen,Canada,,13677222,Walt Disney Pictures,89
Flight of the Navigator,PG,Adventure,1986,"August 1, 1986 (United States)",6.9,45000,Randal Kleiser,Mark H. Baker,Joey Cramer,United States,9000000,18564613,Walt Disney Pictures,90
The Great Mouse Detective,G,Animation,1986,"July 2, 1986 (United States)",7.2,46000,Directors,Peter Young,Vincent Price,United States,14000000,38625550,Walt Disney Pictures,74
Oliver & Company,G,Animation,1988,"November 18, 1988 (United States)",6.7,45000,George Scribner,Jim Cox,Joey Lawrence,United States,31000000,74151346,Walt Disney Animation Studios,74
The Little Mermaid,G,Animation,1989,"November 17, 1989 (United States)",7.6,244000,Ron Clements,John Musker,Jodi Benson,United States,40000000,211343479,Walt Disney Pictures,83
"Honey, I Shrunk the Kids",PG,Adventure,1989,"June 23, 1989 (United States)",6.4,146000,Joe Johnston,Stuart Gordon,Rick Moranis,United States,18000000,222724172,Walt Disney Pictures,93
Beauty and the Beast,G,Animation,1991,"November 22, 1991 (United States)",8,424000,Gary Trousdale,Linda Woolverton,Paige O'Hara,United States,25000000,424967620,Walt Disney Pictures,84
The Rocketeer,PG,Action,1991,"June 21, 1991 (United States)",6.5,55000,Joe Johnston,Dave Stevens,Billy Campbell,United States,35000000,46704056,Walt Disney Pictures,108
Wild Hearts Can't Be Broken,G,Drama,1991,"May 24, 1991 (United States)",7.2,5000,Steve Miner,Matt Williams,Gabrielle Anwar,United States,,7294835,Walt Disney Pictures,88
White Fang,PG,Adventure,1991,"January 18, 1991 (United States)",6.7,20000,Randal Kleiser,Jack London,Ethan Hawke,United States,14000000,34793160,Walt Disney Pictures,107
Aladdin,G,Animation,1992,"November 25, 1992 (United States)",8,382000,Ron Clements,Ron Clements,Scott Weinger,United States,28000000,504050219,Walt Disney Pictures,90
The Muppet Christmas Carol,G,Comedy,1992,"December 11, 1992 (United States)",7.7,51000,Brian Henson,Charles Dickens,Michael Caine,United States,12000000,32574382,Walt Disney Pictures,85
Hocus Pocus,PG,Comedy,1993,"July 16, 1993 (United States)",6.9,106000,Kenny Ortega,David Kirschner,Bette Midler,United States,28000000,44947705,Walt Disney Pictures,96
The Three Musketeers,PG,Action,1993,"November 12, 1993 (United States)",6.4,52000,Stephen Herek,Alexandre Dumas,Charlie Sheen,Austria,30000000,53898845,Walt Disney Pictures,105
Cool Runnings,PG,Adventure,1993,"October 1, 1993 (United States)",7,96000,Jon Turteltaub,Lynn Siefert,John Candy,United States,14000000,154856263,Walt Disney Pictures,98
A Far Off Place,PG,Adventure,1993,"March 12, 1993 (United States)",6.6,3400,Mikael Salomon,Lourens van der Post,Reese Witherspoon,United States,,12890752,Walt Disney Pictures,108
The Lion King,G,Animation,1994,"June 24, 1994 (United States)",8.5,970000,Roger Allers,Irene Mecchi,Matthew Broderick,United States,45000000,1083720877,Walt Disney Pictures,88
Blank Check,PG,Comedy,1994,"February 11, 1994 (United States)",5.3,19000,Rupert Wainwright,Blake Snyder,Brian Bonsall,United States,,30577969,Walt Disney Pictures,93
The Santa Clause,PG,Comedy,1994,"November 11, 1994 (United States)",6.5,102000,John Pasquin,Leo Benvenuti,Tim Allen,United States,22000000,190539357,Walt Disney Pictures,97
Iron Will,PG,Adventure,1994,"January 14, 1994 (United States)",6.6,7900,Charles Haid,John Michael Hayes,Mackenzie Astin,United States,,21006361,Walt Disney Pictures,108
Squanto: A Warrior's Tale,PG,Adventure,1994,"October 28, 1994 (United States)",6,1100,Xavier Koller,Darlene Craviotto,Adam Beach,United States,19200000,3342223,Walt Disney Pictures,102
Toy Story,G,Animation,1995,"November 22, 1995 (United States)",8.3,913000,John Lasseter,John Lasseter,Tom Hanks,United States,30000000,394436586,Walt Disney Pictures,81
Pocahontas,G,Animation,1995,"June 23, 1995 (United States)",6.7,175000,Mike Gabriel,Carl Binder,Mel Gibson,United States,55000000,346079773,Walt Disney Pictures,81
A Goofy Movie,G,Animation,1995,"April 7, 1995 (United States)",6.9,48000,Kevin Lima,Jymn Magon,Bill Farmer,United States,18000000,35348597,Walt Disney Pictures,78
Tom and Huck,PG,Adventure,1995,"December 22, 1995 (United States)",5.5,10000,Peter Hewitt,Mark Twain,Jonathan Taylor Thomas,United States,,23920048,Walt Disney Pictures,97
Operation Dumbo Drop,PG,Action,1995,"July 28, 1995 (United States)",5.1,8600,Simon Wincer,James Morris,Danny Glover,United States,,24670346,Walt Disney Pictures,107
101 Dalmatians,G,Adventure,1996,"November 27, 1996 (United States)",5.7,105000,Stephen Herek,Dodie Smith,Glenn Close,United States,75000000,320689294,Walt Disney Pictures,103
The Hunchback of Notre Dame,G,Animation,1996,"June 21, 1996 (United States)",7,146000,Gary Trousdale,Tab Murphy,Demi Moore,United States,100000000,325338851,Walt Disney Animation Studios,91
James and the Giant Peach,PG,Animation,1996,"April 12, 1996 (United States)",6.7,62000,Henry Selick,Roald Dahl,Paul Terry,United Kingdom,38000000,28946127,Walt Disney Pictures,79
D3: The Mighty Ducks,PG,Action,1996,"October 4, 1996 (United States)",5.5,26000,Robert Lieberman,Steven Brill,Emilio Estevez,United States,,22955097,Walt Disney Pictures,104
Muppet Treasure Island,G,Action,1996,"February 16, 1996 (United States)",7,22000,Brian Henson,Robert Louis Stevenson,Tim Curry,United States,,34327391,Walt Disney Pictures,99
Homeward Bound II: Lost in San Francisco,G,Adventure,1996,"March 8, 1996 (United States)",6,14000,David R. Ellis,Chris Hauty,Michael J. Fox,United States,,32772492,Walt Disney Pictures,88
Hercules,G,Animation,1997,"June 27, 1997 (United States)",7.3,212000,Ron Clements,Ron Clements,Tate Donovan,United States,85000000,252712101,Walt Disney Pictures,93
George of the Jungle,PG,Action,1997,"July 16, 1997 (United States)",5.5,73000,Sam Weisman,Jay Ward,Brendan Fraser,United States,55000000,174463257,Walt Disney Pictures,92
Flubber,PG,Comedy,1997,"November 26, 1997 (United States)",5.3,86000,Les Mayfield,Samuel W. Taylor,Robin Williams,United States,80000000,177977226,Walt Disney Pictures,93
Jungle 2 Jungle,PG,Comedy,1997,"March 7, 1997 (United States)",5.2,23000,John Pasquin,Hervé Palud,Tim Allen,United States,32000000,59927618,Walt Disney Pictures,105
Air Bud,PG,Comedy,1997,"August 1, 1997 (United States)",5.3,17000,Charles Martin Smith,Kevin DiCicco,Michael Jeter,United States,3000000,23144499,Walt Disney Pictures,98
That Darn Cat,PG,Action,1997,"February 14, 1997 (United States)",4.7,4200,Bob Spiers,Gordon Gordon,Christina Ricci,United States,,18301610,Walt Disney Pictures,89
Mr. Magoo,PG,Adventure,1997,"December 25, 1997 (United States)",4,15000,Stanley Tong,Pat Proft,Leslie Nielsen,United States,30000000,21437192,Walt Disney Pictures,87
Mulan,G,Animation,1998,"June 19, 1998 (United States)",7.6,265000,Tony Bancroft,Robert D. San Souci,Ming-Na Wen,United States,90000000,304320254,Walt Disney Animation Studios,88
I'll Be Home for Christmas,PG,Comedy,1998,"November 13, 1998 (United States)",5.5,9600,Arlene Sanford,Tom Nursall,Jonathan Taylor Thomas,United States,30000000,12214338,Walt Disney Pictures,86
Tarzan,G,Animation,1999,"June 18, 1999 (United States)",7.3,210000,Chris Buck,Tab Murphy,Tony Goldwyn,United States,130000000,448191819,Walt Disney Pictures,88
Inspector Gadget,PG,Action,1999,"July 23, 1999 (United States)",4.2,46000,David Kellogg,Andy Heyward,Matthew Broderick,United States,90000000,134403112,Walt Disney Pictures,78
My Favorite Martian,PG,Comedy,1999,"February 12, 1999 (United States)",5.1,13000,Donald Petrie,John L. Greene,Christopher Lloyd,United States,65000000,36850101,Walt Disney Pictures,94
Fantasia 2000,G,Animation,1999,"June 16, 2000 (United States)",7.2,36000,Directors,Eric Goldberg,James Levine,United States,80000000,90874570,Walt Disney Pictures,75
The Emperor's New Groove,G,Animation,2000,"December 15, 2000 (United States)",7.4,187000,Mark Dindal,Chris Williams,David Spade,United States,100000000,169661687,Walt Disney Animation Studios,78
Dinosaur,PG,Animation,2000,"May 19, 2000 (United States)",6.5,56000,Eric Leighton,Thom Enriquez,D.B. Sweeney,United States,127500000,349822765,Walt Disney Pictures,82
The Princess Diaries,G,Comedy,2001,"August 3, 2001 (United States)",6.4,133000,Garry Marshall,Meg Cabot,Julie Andrews,United States,26000000,165335153,Walt Disney Pictures,111
Atlantis: The Lost Empire,PG,Animation,2001,"June 15, 2001 (United States)",6.9,109000,Gary Trousdale,Tab Murphy,Michael J. Fox,United States,120000000,186053725,Walt Disney Animation Studios,95
Max Keeble's Big Move,PG,Comedy,2001,"October 5, 2001 (United States)",5.4,7700,Tim Hill,David L. Watts,Alex D. Linz,United States,25000000,18634654,Walt Disney Pictures,86
Lilo & Stitch,PG,Animation,2002,"June 21, 2002 (United States)",7.3,174000,Dean DeBlois,Chris Sanders,Daveigh Chase,United States,80000000,273144151,Walt Disney Pictures,92
Treasure Planet,PG,Animation,2002,"November 27, 2002 (United States)",7.2,107000,Ron Clements,Robert Louis Stevenson,Joseph Gordon-Levitt,United States,140000000,110041363,Walt Disney Animation Studios,95
Tuck Everlasting,PG,Drama,2002,"October 11, 2002 (United States)",6.6,22000,Jay Russell,Natalie Babbitt,Alexis Bledel,United States,15000000,19344615,Walt Disney Pictures,90
Snow Dogs,PG,Adventure,2002,"January 18, 2002 (United States)",5.2,26000,Brian Levant,Jim Kouf,Cuba Gooding Jr.,Canada,33000000,115035090,Walt Disney Pictures,99
The Santa Clause 2,G,Comedy,2002,"November 1, 2002 (United States)",5.7,52000,Michael Lembeck,Don Rhymer,Tim Allen,United States,65000000,172855065,Walt Disney Pictures,104
The Country Bears,G,Comedy,2002,"July 26, 2002 (United States)",4.2,5200,Peter Hastings,Mark Perez,Haley Joel Osment,United States,35000000,18012097,Walt Disney Pictures,88
Pirates of the Caribbean: the Curse of the Black Pearl,PG-13,Action,2003,"July 9, 2003 (United States)",8,1000000,Gore Verbinski,Ted Elliott,Johnny Depp,United States,140000000,654264015,Walt Disney Pictures,143
Holes,PG,Adventure,2003,"April 18, 2003 (United States)",7,81000,Andrew Davis,Louis Sachar,Shia LaBeouf,United States,20000000,71406573,Walt Disney Pictures,117
Brother Bear,G,Animation,2003,"November 1, 2003 (United States)",6.8,101000,Aaron Blaise,Tab Murphy,Joaquin Phoenix,United States,128000000,250397798,Walt Disney Animation Studios,85
The Haunted Mansion,PG,Comedy,2003,"November 26, 2003 (United States)",5.1,44000,Rob Minkoff,David Berenbaum,Eddie Murphy,United States,90000000,182290266,Walt Disney Pictures,88
The Lizzie McGuire Movie,PG,Adventure,2003,"May 2, 2003 (United States)",5.5,37000,Jim Fall,Susan Estelle Jansen,Hilary Duff,United States,17000000,55534455,Walt Disney Pictures,94
National Treasure,PG,Action,2004,"November 19, 2004 (United States)",6.9,311000,Jon Turteltaub,Jim Kouf,Nicolas Cage,United States,100000000,347512318,Walt Disney Pictures,131
The Princess Diaries 2: Royal Engagement,G,Comedy,2004,"August 11, 2004 (United States)",5.8,76000,Garry Marshall,Meg Cabot,Anne Hathaway,United States,40000000,134734481,Walt Disney Pictures,113
Around the World in 80 Days,PG,Action,2004,"June 16, 2004 (United States)",5.9,87000,Frank Coraci,Jules Verne,Jackie Chan,United States,110000000,72178895,Walt Disney Pictures,120
Confessions of a Teenage Drama Queen,PG,Comedy,2004,"February 20, 2004 (United States)",4.7,28000,Sara Sugarman,Dyan Sheldon,Lindsay Lohan,Germany,15000000,33251890,Walt Disney Pictures,89
Home on the Range,PG,Animation,2004,"April 2, 2004 (United States)",5.4,21000,Will Finn,Will Finn,Judi Dench,United States,110000000,145358062,Walt Disney Pictures,76
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",PG,Adventure,2005,"December 9, 2005 (United States)",6.9,375000,Andrew Adamson,Ann Peacock,Tilda Swinton,United Kingdom,180000000,745013115,Walt Disney Pictures,143
Sky High,PG,Adventure,2005,"July 29, 2005 (United States)",6.2,81000,Mike Mitchell,Paul Hernandez,Kurt Russell,United States,35000000,86369815,Walt Disney Pictures,100
The Pacifier,PG,Action,2005,"March 4, 2005 (United States)",5.6,90000,Adam Shankman,Thomas Lennon,Vin Diesel,Canada,56000000,198636868,Walt Disney Pictures,95
Chicken Little,G,Animation,2005,"November 4, 2005 (United States)",5.7,88000,Mark Dindal,Mark Dindal,Zach Braff,United States,150000000,314432837,Walt Disney Pictures,81
Herbie Fully Loaded,G,Adventure,2005,"June 22, 2005 (United States)",4.8,46000,Angela Robinson,Thomas Lennon,Lindsay Lohan,United States,50000000,144146816,Walt Disney Pictures,101
Ice Princess,G,Comedy,2005,"March 18, 2005 (United States)",6,26000,Tim Fywell,Meg Cabot,Michelle Trachtenberg,United States,,27645491,Walt Disney Pictures,98
Pirates of the Caribbean: Dead Man's Chest,PG-13,Action,2006,"July 7, 2006 (United States)",7.3,668000,Gore Verbinski,Ted Elliott,Johnny Depp,United States,225000000,1066179747,Walt Disney Pictures,151
Invincible,PG,Biography,2006,"August 25, 2006 (United States)",7.1,68000,Ericson Core,Brad Gann,Mark Wahlberg,United States,40000000,58480828,Walt Disney Pictures,105
Eight Below,PG,Adventure,2006,"February 17, 2006 (United States)",7.3,62000,Frank Marshall,David DiGilio,Paul Walker,United States,40000000,120455994,Walt Disney Pictures,120
Glory Road,PG,Biography,2006,"January 13, 2006 (United States)",7.2,44000,James Gartner,Christopher Cleveland,Josh Lucas,United States,,42938449,Walt Disney Pictures,118
The Santa Clause 3: The Escape Clause,G,Adventure,2006,"November 3, 2006 (United States)",4.8,34000,Michael Lembeck,Ed Decter,Tim Allen,United States,12000000,110768122,Walt Disney Pictures,92
Ratatouille,G,Animation,2007,"June 29, 2007 (United States)",8,660000,Brad Bird,Brad Bird,Brad Garrett,United States,150000000,623726085,Walt Disney Pictures,111
Pirates of the Caribbean: at World's End,PG-13,Action,2007,"May 25, 2007 (United States)",7.1,608000,Gore Verbinski,Ted Elliott,Johnny Depp,United States,300000000,960996492,Walt Disney Pictures,169
Enchanted,PG,Comedy,2007,"November 21, 2007 (United States)",7,181000,Kevin Lima,Bill Kelly,Amy Adams,United States,85000000,340487836,Walt Disney Pictures,107
Meet the Robinsons,G,Animation,2007,"March 30, 2007 (United States)",6.8,91000,Stephen J. Anderson,Jon Bernstein,Daniel Hansen,United States,150000000,169333034,Walt Disney Animation Studios,95
National Treasure: Book of Secrets,PG,Action,2007,"December 21, 2007 (United States)",6.5,223000,Jon Turteltaub,Marianne Wibberley,Nicolas Cage,United States,130000000,459242249,Walt Disney Pictures,124
The Game Plan,PG,Comedy,2007,"September 28, 2007 (United States)",6.1,61000,Andy Fickman,Nichole Millard,Dwayne Johnson,United States,22000000,147880543,Walt Disney Pictures,110
Bolt,PG,Animation,2008,"November 21, 2008 (United States)",6.8,196000,Byron Howard,Dan Fogelman,John Travolta,United States,150000000,309979994,Walt Disney Animation Studios,96
The Chronicles of Narnia: Prince Caspian,PG,Action,2008,"May 16, 2008 (United States)",6.5,199000,Andrew Adamson,Andrew Adamson,Ben Barnes,United States,225000000,419665568,Walt Disney Pictures,150
Bedtime Stories,PG,Adventure,2008,"December 25, 2008 (United States)",6,90000,Adam Shankman,Matt Lopez,Adam Sandler,United States,80000000,212874864,Walt Disney Pictures,99
High School Musical 3: Senior Year,G,Comedy,2008,"October 24, 2008 (United States)",4.9,59000,Kenny Ortega,Peter Barsocchini,Zac Efron,United States,11000000,252909177,Walt Disney Pictures,112
The Princess and the Frog,G,Animation,2009,"December 11, 2009 (United States)",7.1,130000,Ron Clements,Ron Clements,Anika Noni Rose,United States,105000000,267045765,Walt Disney Animation Studios,97
Race to Witch Mountain,PG,Action,2009,"March 13, 2009 (United States)",5.7,57000,Andy Fickman,Matt Lopez,Dwayne Johnson,United States,65000000,106387141,Walt Disney Pictures,98
Old Dogs,PG,Comedy,2009,"November 25, 2009 (United States)",5.3,37000,Walt Becker,David Diamond,Robin Williams,United States,35000000,96753696,Walt Disney Pictures,88
A Christmas Carol,PG,Animation,2009,"November 6, 2009 (United States)",6.8,106000,Robert Zemeckis,Charles Dickens,Jim Carrey,United States,200000000,325286646,Walt Disney Pictures,96
Tangled,PG,Animation,2010,"November 24, 2010 (United States)",7.7,417000,Nathan Greno,Dan Fogelman,Mandy Moore,United States,260000000,592462816,Walt Disney Animation Studios,100
Alice in Wonderland,PG,Adventure,2010,"March 5, 2010 (United States)",6.4,392000,Tim Burton,Linda Woolverton,Mia Wasikowska,United States,200000000,1025468216,Walt Disney Pictures,108
TRON: Legacy,PG,Action,2010,"December 17, 2010 (United States)",6.8,319000,Joseph Kosinski,Edward Kitsis,Jeff Bridges,United States,170000000,400063852,Walt Disney Pictures,125
Toy Story 3,G,Animation,2010,"June 18, 2010 (United States)",8.2,776000,Lee Unkrich,John Lasseter,Tom Hanks,United States,200000000,1066970811,Walt Disney Pictures,103
Prince of Persia: the Sands of Time,PG-13,Action,2010,"May 28, 2010 (United States)",6.6,277000,Mike Newell,Boaz Yakin,Jake Gyllenhaal,United States,200000000,336365676,Walt Disney Pictures,116
The Sorcerer's Apprentice,PG,Action,2010,"July 14, 2010 (United States)",6.1,156000,Jon Turteltaub,Lawrence Konner,Nicolas Cage,United States,150000000,215283742,Walt Disney Pictures,109
Secretariat,PG,Biography,2010,"October 8, 2010 (United States)",7.2,27000,Randall Wallace,Mike Rich,Diane Lane,United States,35000000,60321861,Walt Disney Pictures,123
Pirates of the Caribbean: on Stranger Tides,PG-13,Action,2011,"May 20, 2011 (United States)",6.6,492000,Rob Marshall,Ted Elliott,Johnny Depp,United States,250000000,1045713802,Walt Disney Pictures,136
Cars 2,G,Animation,2011,"June 24, 2011 (United States)",6.1,168000,John Lasseter,John Lasseter,Owen Wilson,United States,200000000,559852396,Walt Disney Pictures,106
The Muppets,PG,Adventure,2011,"November 23, 2011 (United States)",7.1,89000,James Bobin,Jason Segel,Amy Adams,United States,45000000,165184237,Walt Disney Pictures,103
Winnie the Pooh,G,Animation,2011,"July 15, 2011 (United States)",7.2,23000,Stephen J. Anderson,Stephen J. Anderson,Jim Cummings,United States,30000000,49871429,Walt Disney Pictures,63
Brave,PG,Animation,2012,"June 22, 2012 (United States)",7.1,383000,Mark Andrews,Brenda Chapman,Kelly Macdonald,United States,185000000,538983207,Walt Disney Pictures,93
John Carter,PG-13,Action,2012,"March 9, 2012 (United States)",6.6,260000,Andrew Stanton,Andrew Stanton,Taylor Kitsch,United States,250000000,284139100,Walt Disney Pictures,132
Wreck-It Ralph,PG,Animation,2012,"November 2, 2012 (United States)",7.7,390000,Rich Moore,Rich Moore,John C. Reilly,United States,165000000,471222889,Walt Disney Animation Studios,101
Frankenweenie,PG,Animation,2012,"October 5, 2012 (United States)",6.9,101000,Tim Burton,Leonard Ripps,Winona Ryder,United States,39000000,81493846,Walt Disney Pictures,87
Frozen,PG,Animation,2013,"November 27, 2013 (United States)",7.4,585000,Chris Buck,Jennifer Lee,Kristen Bell,United States,150000000,1281508100,Walt Disney Animation Studios,102
Monsters University,G,Animation,2013,"June 21, 2013 (United States)",7.2,332000,Dan Scanlon,Dan Scanlon,Billy Crystal,United States,200000000,743559645,Walt Disney Pictures,104
Oz the Great and Powerful,PG,Adventure,2013,"March 8, 2013 (United States)",6.3,201000,Sam Raimi,Mitchell Kapner,James Franco,United States,215000000,493311825,Walt Disney Pictures,130
The Lone Ranger,PG-13,Action,2013,"July 3, 2013 (United States)",6.4,225000,Gore Verbinski,Justin Haythe,Johnny Depp,United States,215000000,260502115,Walt Disney Pictures,150
Saving Mr. Banks,PG-13,Biography,2013,"December 20, 2013 (United States)",7.5,155000,John Lee Hancock,Kelly Marcel,Emma Thompson,United States,35000000,117867984,Walt Disney Pictures,125
Million Dollar Arm,PG,Biography,2014,"May 16, 2014 (United States)",7,44000,Craig Gillespie,Tom McCarthy,Jon Hamm,United States,25000000,38483455,Walt Disney Pictures,124
Muppets Most Wanted,PG,Adventure,2014,"March 21, 2014 (United States)",6.4,33000,James Bobin,James Bobin,Ricky Gervais,United States,50000000,80383113,Walt Disney Pictures,107
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",PG,Comedy,2014,"October 10, 2014 (United States)",6.2,42000,Miguel Arteta,Rob Lieber,Steve Carell,United States,28000000,100654149,Walt Disney Pictures,81
Tomorrowland,PG,Action,2015,"May 22, 2015 (United States)",6.4,175000,Brad Bird,Damon Lindelof,George Clooney,United States,190000000,209035668,Walt Disney Pictures,130
Zootopia,PG,Animation,2016,"March 4, 2016 (United States)",8,450000,Byron Howard,Byron Howard,Ginnifer Goodwin,United States,150000000,1024121104,Walt Disney Pictures,108
Alice Through the Looking Glass,PG,Adventure,2016,"May 27, 2016 (United States)",6.2,98000,James Bobin,Linda Woolverton,Mia Wasikowska,United States,170000000,299820798,Walt Disney Pictures,113
The Finest Hours,PG-13,Action,2016,"January 29, 2016 (United States)",6.8,63000,Craig Gillespie,Scott Silver,Chris Pine,United States,80000000,52099090,Walt Disney Pictures,117
The BFG,PG,Adventure,2016,"July 1, 2016 (United States)",6.4,80000,Steven Spielberg,Melissa Mathison,Mark Rylance,United States,140000000,195243411,Walt Disney Pictures,117
Pete's Dragon,PG,Action,2016,"August 12, 2016 (United States)",6.7,55000,David Lowery,David Lowery,Bryce Dallas Howard,United States,65000000,143695338,Walt Disney Pictures,102
Thor: Ragnarok,PG-13,Action,2017,"November 3, 2017 (United States)",7.9,628000,Taika Waititi,Eric Pearson,Chris Hemsworth,United States,180000000,853983911,Walt Disney Pictures,130
Coco,PG,Animation,2017,"November 22, 2017 (United States)",8.4,417000,Lee Unkrich,Lee Unkrich,Anthony Gonzalez,United States,175000000,807817888,Walt Disney Pictures,105
Pirates of the Caribbean: Dead Men Tell No Tales,PG-13,Action,2017,"May 26, 2017 (United States)",6.5,275000,Joachim Rønning,Jeff Nathanson,Johnny Depp,United States,230000000,794881442,Walt Disney Pictures,129
Star Wars: Episode VIII - The Last Jedi,PG-13,Action,2017,"December 15, 2017 (United States)",7,581000,Rian Johnson,Rian Johnson,Daisy Ridley,United States,317000000,1332698830,Walt Disney Pictures,152
Smurfs: The Lost Village,PG,Animation,2017,"April 7, 2017 (United States)",6,19000,Kelly Asbury,Stacey Harman,Demi Lovato,United States,60000000,197183546,Walt Disney Animation Studios,90
Incredibles 2,PG,Animation,2018,"June 15, 2018 (United States)",7.6,263000,Brad Bird,Brad Bird,Craig T. Nelson,United States,200000000,1244639527,Walt Disney Pictures,118
Ralph Breaks the Internet,PG,Animation,2018,"November 21, 2018 (United States)",7,140000,Phil Johnston,Phil Johnston,John C. Reilly,United States,175000000,529323962,Walt Disney Animation Studios,112
The Nutcracker and the Four Realms,PG,Adventure,2018,"November 2, 2018 (United States)",5.6,30000,Lasse Hallström,Ashleigh Powell,Mackenzie Foy,United States,120000000,173961069,Walt Disney Pictures,99
Captain Marvel,PG-13,Action,2019,"March 8, 2019 (United States)",6.8,478000,Anna Boden,Anna Boden,Brie Larson,United States,160000000,1128462972,Walt Disney Pictures,123
Star Wars: Episode IX - The Rise of Skywalker,PG-13,Action,2019,"December 20, 2019 (United States)",6.5,394000,J.J. Abrams,Chris Terrio,Daisy Ridley,United States,275000000,1078232589,Walt Disney Pictures,141
The Lion King,PG,Animation,2019,"July 19, 2019 (United States)",6.9,222000,Jon Favreau,Jeff Nathanson,Donald Glover,United States,260000000,1670727580,Walt Disney Pictures,118
Aladdin,PG,Adventure,2019,"May 24, 2019 (United States)",6.9,239000,Guy Ritchie,John August,Will Smith,United Kingdom,183000000,1050693953,Walt Disney Pictures,128
Frozen II,PG,Animation,2019,"November 22, 2019 (United States)",6.8,148000,Chris Buck,Jennifer Lee,Kristen Bell,United States,150000000,1450026933,Walt Disney Animation Studios,103
Maleficent: Mistress of Evil,PG,Adventure,2019,"October 18, 2019 (United States)",6.6,91000,Joachim Rønning,Linda Woolverton,Angelina Jolie,United States,185000000,491730089,Walt Disney Pictures,119
Dumbo,PG,Adventure,2019,"March 29, 2019 (United States)",6.3,69000,Tim Burton,Ehren Kruger,Colin Farrell,United States,170000000,353284621,Walt Disney Pictures,112
Onward,PG,Animation,2020,"March 6, 2020 (United States)",7.4,120000,Dan Scanlon,Dan Scanlon,Tom Holland,United States,,141950608,Walt Disney Pictures,102
